date,close,series
2015-10-21,17168.61,DJIA
2015-10-22,17489.16,DJIA
2015-10-23,17646.7,DJIA
2015-10-26,17623.05,DJIA
2015-10-27,17581.43,DJIA
2015-10-28,17779.52,DJIA
2015-10-29,17755.8,DJIA
2015-10-30,17663.54,DJIA
2015-11-02,17828.76,DJIA
2015-11-03,17918.15,DJIA
2015-11-04,17867.58,DJIA
2015-11-05,17863.43,DJIA
2015-11-06,17910.33,DJIA
2015-11-09,17730.48,DJIA
2015-11-10,17758.21,DJIA
2015-11-11,17702.22,DJIA
2015-11-12,17448.07,DJIA
2015-11-13,17245.24,DJIA
2015-11-16,17483.01,DJIA
2015-11-17,17489.5,DJIA
2015-11-18,17737.16,DJIA
2015-11-19,17732.75,DJIA
2015-11-20,17823.81,DJIA
2015-11-23,17792.68,DJIA
2015-11-24,17812.19,DJIA
2015-11-25,17813.39,DJIA
2015-11-26,,DJIA
2015-11-27,17798.49,DJIA
2015-11-30,17719.92,DJIA
2015-12-01,17888.35,DJIA
2015-12-02,17729.68,DJIA
2015-12-03,17477.67,DJIA
2015-12-04,17847.63,DJIA
2015-12-07,17730.51,DJIA
2015-12-08,17568.0,DJIA
2015-12-09,17492.3,DJIA
2015-12-10,17574.75,DJIA
2015-12-11,17265.21,DJIA
2015-12-14,17368.5,DJIA
2015-12-15,17524.91,DJIA
2015-12-16,17749.09,DJIA
2015-12-17,17495.84,DJIA
2015-12-18,17128.55,DJIA
2015-12-21,17251.62,DJIA
2015-12-22,17417.27,DJIA
2015-12-23,17602.61,DJIA
2015-12-24,17552.17,DJIA
2015-12-25,,DJIA
2015-12-28,17528.27,DJIA
2015-12-29,17720.98,DJIA
2015-12-30,17603.87,DJIA
2015-12-31,17425.03,DJIA
2016-01-01,,DJIA
2016-01-04,17148.94,DJIA
2016-01-05,17158.66,DJIA
2016-01-06,16906.51,DJIA
2016-01-07,16514.1,DJIA
2016-01-08,16346.45,DJIA
2016-01-11,16398.57,DJIA
2016-01-12,16516.22,DJIA
2016-01-13,16151.41,DJIA
2016-01-14,16379.05,DJIA
2016-01-15,15988.08,DJIA
2016-01-18,,DJIA
2016-01-19,16016.02,DJIA
2016-01-20,15766.74,DJIA
2016-01-21,15882.68,DJIA
2016-01-22,16093.51,DJIA
2016-01-25,15885.22,DJIA
2016-01-26,16167.23,DJIA
2016-01-27,15944.46,DJIA
2016-01-28,16069.64,DJIA
2016-01-29,16466.3,DJIA
2016-02-01,16449.18,DJIA
2016-02-02,16153.54,DJIA
2016-02-03,16336.66,DJIA
2016-02-04,16416.58,DJIA
2016-02-05,16204.97,DJIA
2016-02-08,16027.05,DJIA
2016-02-09,16014.38,DJIA
2016-02-10,15914.74,DJIA
2016-02-11,15660.18,DJIA
2016-02-12,15973.84,DJIA
2016-02-15,,DJIA
2016-02-16,16196.41,DJIA
2016-02-17,16453.83,DJIA
2016-02-18,16413.43,DJIA
2016-02-19,16391.99,DJIA
2016-02-22,16620.66,DJIA
2016-02-23,16431.78,DJIA
2016-02-24,16484.99,DJIA
2016-02-25,16697.29,DJIA
2016-02-26,16639.97,DJIA
2016-02-29,16516.5,DJIA
2016-03-01,16865.08,DJIA
2016-03-02,16899.32,DJIA
2016-03-03,16943.9,DJIA
2016-03-04,17006.77,DJIA
2016-03-07,17073.95,DJIA
2016-03-08,16964.1,DJIA
2016-03-09,17000.36,DJIA
2016-03-10,16995.13,DJIA
2016-03-11,17213.31,DJIA
2016-03-14,17229.13,DJIA
2016-03-15,17251.53,DJIA
2016-03-16,17325.76,DJIA
2016-03-17,17481.49,DJIA
2016-03-18,17602.3,DJIA
2016-03-21,17623.87,DJIA
2016-03-22,17582.57,DJIA
2016-03-23,17502.59,DJIA
2016-03-24,17515.73,DJIA
2016-03-25,,DJIA
2016-03-28,17535.39,DJIA
2016-03-29,17633.11,DJIA
2016-03-30,17716.66,DJIA
2016-03-31,17685.09,DJIA
2016-04-01,17792.75,DJIA
2016-04-04,17737.0,DJIA
2016-04-05,17603.32,DJIA
2016-04-06,17716.05,DJIA
2016-04-07,17541.96,DJIA
2016-04-08,17576.96,DJIA
2016-04-11,17556.41,DJIA
2016-04-12,17721.25,DJIA
2016-04-13,17908.28,DJIA
2016-04-14,17926.43,DJIA
2016-04-15,17897.46,DJIA
2016-04-18,18004.16,DJIA
2016-04-19,18053.6,DJIA
2016-04-20,18096.27,DJIA
2016-04-21,17982.52,DJIA
